Bank,Category,Metric,Unit,Year,Value
IFIC Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2024,8823.6
IFIC Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2023,7282.6
IFIC Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2022,7458
IFIC Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2021,7188
IFIC Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2020,5560
IFIC Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2019,4722
IFIC Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2018,4441
IFIC Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2017,4270
IFIC Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2016,4247.43
IFIC Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2015,4305.47
IFIC Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2025,-25616.9
IFIC Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2024,-1024.7
IFIC Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2023,3005.2
IFIC Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2022,3442
IFIC Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2021,2541
IFIC Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2020,562
IFIC Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2019,2444
IFIC Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2018,1570
IFIC Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2017,2068
IFIC Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2016,1582.53
IFIC Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2015,1057.14
IFIC Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2025,-13.33
IFIC Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2024,-0.53
IFIC Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2023,1.56
IFIC Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2022,1.93
IFIC Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2021,1.42
IFIC Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2020,0.35
IFIC Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2019,1.51
IFIC Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2018,1.07
IFIC Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2017,1.54
IFIC Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2016,2.81
IFIC Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2015,1.87
IFIC Bank,PER-SHARE & PROFITABILITY,ROA %,%,2025,-4.45
IFIC Bank,PER-SHARE & PROFITABILITY,ROA %,%,2024,-0.19
IFIC Bank,PER-SHARE & PROFITABILITY,ROA %,%,2023,0.57
IFIC Bank,PER-SHARE & PROFITABILITY,ROA %,%,2022,0.78
IFIC Bank,PER-SHARE & PROFITABILITY,ROA %,%,2021,0.61
IFIC Bank,PER-SHARE & PROFITABILITY,ROA %,%,2020,0.2
IFIC Bank,PER-SHARE & PROFITABILITY,ROA %,%,2019,0.8
IFIC Bank,PER-SHARE & PROFITABILITY,ROA %,%,2018,0.6
IFIC Bank,PER-SHARE & PROFITABILITY,ROA %,%,2017,0.9
IFIC Bank,PER-SHARE & PROFITABILITY,ROA %,%,2016,0.65
IFIC Bank,PER-SHARE & PROFITABILITY,ROA %,%,2015,0.53
IFIC Bank,PER-SHARE & PROFITABILITY,ROE %,%,2025,-139.59
IFIC Bank,PER-SHARE & PROFITABILITY,ROE %,%,2024,-3.25
IFIC Bank,PER-SHARE & PROFITABILITY,ROE %,%,2023,8.32
IFIC Bank,PER-SHARE & PROFITABILITY,ROE %,%,2022,10.24
IFIC Bank,PER-SHARE & PROFITABILITY,ROE %,%,2021,8.4
IFIC Bank,PER-SHARE & PROFITABILITY,ROE %,%,2020,2.3
IFIC Bank,PER-SHARE & PROFITABILITY,ROE %,%,2019,10.5
IFIC Bank,PER-SHARE & PROFITABILITY,ROE %,%,2018,7.4
IFIC Bank,PER-SHARE & PROFITABILITY,ROE %,%,2017,12.4
IFIC Bank,PER-SHARE & PROFITABILITY,ROE %,%,2016,9.46
IFIC Bank,PER-SHARE & PROFITABILITY,ROE %,%,2015,7.61
IFIC Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2025,84.19
IFIC Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2024,91.34
IFIC Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2023,93.9
IFIC Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2022,94.76
IFIC Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2021,92.06
IFIC Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2020,82.4
IFIC Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2019,84.08
IFIC Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2018,86.83
IFIC Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2017,85.04
IFIC Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2016,85.62
IFIC Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2015,83.96
IFIC Bank,ASSET QUALITY,NPL % (gross),%,2025,61.47
IFIC Bank,ASSET QUALITY,NPL % (gross),%,2024,54.97
IFIC Bank,ASSET QUALITY,NPL % (gross),%,2023,7.99
IFIC Bank,ASSET QUALITY,NPL % (gross),%,2022,5.61
IFIC Bank,ASSET QUALITY,NPL % (gross),%,2021,6.09
IFIC Bank,ASSET QUALITY,NPL % (gross),%,2020,3.97
IFIC Bank,ASSET QUALITY,NPL % (gross),%,2019,5.37
IFIC Bank,ASSET QUALITY,NPL % (gross),%,2018,6.16
IFIC Bank,ASSET QUALITY,NPL % (gross),%,2017,6.4
IFIC Bank,ASSET QUALITY,NPL % (gross),%,2016,5.29
IFIC Bank,ASSET QUALITY,NPL % (gross),%,2015,6.46
IFIC Bank,ASSET QUALITY,Provision Coverage %,%,2025,2.91
IFIC Bank,ASSET QUALITY,Provision Coverage %,%,2024,5.46
IFIC Bank,ASSET QUALITY,Provision Coverage %,%,2023,44
IFIC Bank,ASSET QUALITY,Provision Coverage %,%,2022,66.11
IFIC Bank,ASSET QUALITY,Provision Coverage %,%,2021,54.47
IFIC Bank,ASSET QUALITY,Provision Coverage %,%,2020,75.8
IFIC Bank,ASSET QUALITY,Provision Coverage %,%,2019,49.2
IFIC Bank,ASSET QUALITY,Provision Coverage %,%,2018,46.7
IFIC Bank,ASSET QUALITY,Provision Coverage %,%,2017,51.5
IFIC Bank,ASSET QUALITY,Provision Coverage %,%,2016,32.48
IFIC Bank,ASSET QUALITY,Provision Coverage %,%,2015,33.92
IFIC Bank,CAPITAL & EFFICIENCY,CRAR % (Group),%,2025,2.45
IFIC Bank,CAPITAL & EFFICIENCY,CRAR % (Group),%,2024,7.96
IFIC Bank,CAPITAL & EFFICIENCY,CRAR % (Group),%,2023,12.74
IFIC Bank,CAPITAL & EFFICIENCY,CRAR % (Group),%,2022,13.62
IFIC Bank,CAPITAL & EFFICIENCY,CRAR % (Group),%,2021,13.89
IFIC Bank,CAPITAL & EFFICIENCY,CRAR % (Group),%,2020,12.96
IFIC Bank,CAPITAL & EFFICIENCY,CRAR % (Group),%,2019,13.42
IFIC Bank,CAPITAL & EFFICIENCY,CRAR % (Group),%,2018,12.99
IFIC Bank,CAPITAL & EFFICIENCY,CRAR % (Group),%,2017,13.06
